ewh_sample_id,sample_uuid_bin,sample_uuid,sample_friendly_name,study_friendly_names,studies_set_up
6943760,...,2b6968f2-7872-11ec-a00e-fa163eea3084,3429STDY11677698,"Team 112 R&D","2014-12-05 12:01:32"
6943761,...,2b6bbefe-7872-11ec-a00e-fa163eea3084,3429STDY11677699,"Team 112 R&D","2014-12-05 12:01:32"
6943762,...,2b6e28ba-7872-11ec-a00e-fa163eea3084,3429STDY11677700,"Team 112 R&D","2014-12-05 12:01:32"
6943763,...,2b706652-7872-11ec-a00e-fa163eea3084,3429STDY11677701,"Team 112 R&D","2014-12-05 12:01:32"
6943764,...,2b72c456-7872-11ec-a00e-fa163eea3084,3429STDY11677702,"Team 112 R&D","2014-12-05 12:01:32"
6943765,...,2b7510e4-7872-11ec-a00e-fa163eea3084,3429STDY11677703,"Team 112 R&D","2014-12-05 12:01:32"
6943766,...,2b773fc2-7872-11ec-a00e-fa163eea3084,3429STDY11677704,"Team 112 R&D","2014-12-05 12:01:32"
6943767,...,2b797eae-7872-11ec-a00e-fa163eea3084,3429STDY11677705,"Team 112 R&D","2014-12-05 12:01:32"
6943768,...,2b7bd71c-7872-11ec-a00e-fa163eea3084,3429STDY11677706,"Team 112 R&D","2014-12-05 12:01:32"
6943769,...,2b7e6d88-7872-11ec-a00e-fa163eea3084,3429STDY11677707,"Team 112 R&D","2014-12-05 12:01:32"
6943770,...,2b811e52-7872-11ec-a00e-fa163eea3084,3429STDY11677708,"Team 112 R&D","2014-12-05 12:01:32"
6943771,...,2b83cff8-7872-11ec-a00e-fa163eea3084,3429STDY11677709,"Team 112 R&D","2014-12-05 12:01:32"
6943772,...,2b86bd9e-7872-11ec-a00e-fa163eea3084,3429STDY11677710,"Team 112 R&D","2014-12-05 12:01:32"
6943773,...,2b898998-7872-11ec-a00e-fa163eea3084,3429STDY11677711,"Team 112 R&D","2014-12-05 12:01:32"
6943774,...,2b8c75a4-7872-11ec-a00e-fa163eea3084,3429STDY11677712,"Team 112 R&D","2014-12-05 12:01:32"
6943775,...,2b8f0d3c-7872-11ec-a00e-fa163eea3084,3429STDY11677713,"Team 112 R&D","2014-12-05 12:01:32"
6943776,...,2b91534e-7872-11ec-a00e-fa163eea3084,3429STDY11677714,"Team 112 R&D","2014-12-05 12:01:32"
6943777,...,2b938420-7872-11ec-a00e-fa163eea3084,3429STDY11677715,"Team 112 R&D","2014-12-05 12:01:32"
6943778,...,2b95caf0-7872-11ec-a00e-fa163eea3084,3429STDY11677716,"Team 112 R&D","2014-12-05 12:01:32"
6895390,...,3784fac6-7547-11ec-8386-fa163eac3af7,3429STDY11677719,"Team 112 R&D","2014-12-05 12:01:32"
6895391,...,37940a5c-7547-11ec-8386-fa163eac3af7,3429STDY11677720,"Team 112 R&D","2014-12-05 12:01:32"
6895392,...,379690e2-7547-11ec-8386-fa163eac3af7,3429STDY11677721,"Team 112 R&D","2014-12-05 12:01:32"
6895393,...,3798fa1c-7547-11ec-8386-fa163eac3af7,3429STDY11677722,"Team 112 R&D","2014-12-05 12:01:32"
6895394,...,379b4a92-7547-11ec-8386-fa163eac3af7,3429STDY11677723,"Team 112 R&D","2014-12-05 12:01:32"
6895395,...,379d9a0e-7547-11ec-8386-fa163eac3af7,3429STDY11677724,"Team 112 R&D","2014-12-05 12:01:32"
6895396,...,379fdf6c-7547-11ec-8386-fa163eac3af7,3429STDY11677725,"Team 112 R&D","2014-12-05 12:01:32"
6895397,...,37a513c4-7547-11ec-8386-fa163eac3af7,3429STDY11677726,"Team 112 R&D","2014-12-05 12:01:32"
6895398,...,37a7c2e0-7547-11ec-8386-fa163eac3af7,3429STDY11677727,"Team 112 R&D","2014-12-05 12:01:32"
6895399,...,37aa393a-7547-11ec-8386-fa163eac3af7,3429STDY11677728,"Team 112 R&D","2014-12-05 12:01:32"
6895400,...,37adb1f0-7547-11ec-8386-fa163eac3af7,3429STDY11677729,"Team 112 R&D","2014-12-05 12:01:32"
6895401,...,37b54474-7547-11ec-8386-fa163eac3af7,3429STDY11677730,"Team 112 R&D","2014-12-05 12:01:32"
6895402,...,37b7972e-7547-11ec-8386-fa163eac3af7,3429STDY11677731,"Team 112 R&D","2014-12-05 12:01:32"
6895403,...,37b9e8d0-7547-11ec-8386-fa163eac3af7,3429STDY11677732,"Team 112 R&D","2014-12-05 12:01:32"
6895404,...,37bc1f24-7547-11ec-8386-fa163eac3af7,3429STDY11677733,"Team 112 R&D","2014-12-05 12:01:32"
6895405,...,37be5bae-7547-11ec-8386-fa163eac3af7,3429STDY11677734,"Team 112 R&D","2014-12-05 12:01:32"
6895406,...,37c0d000-7547-11ec-8386-fa163eac3af7,3429STDY11677735,"Team 112 R&D","2014-12-05 12:01:32"
6895407,...,37c34b1e-7547-11ec-8386-fa163eac3af7,3429STDY11677736,"Team 112 R&D","2014-12-05 12:01:32"
6895408,...,37c59f36-7547-11ec-8386-fa163eac3af7,3429STDY11677737,"Team 112 R&D","2014-12-05 12:01:32"
6895409,...,37c8062c-7547-11ec-8386-fa163eac3af7,3429STDY11677738,"Team 112 R&D","2014-12-05 12:01:32"
